model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m2_random_forest,random_row,test,any,nominal_threshold,,1790,909,881,890,886,4,877,23,0.7,0.7,0.9955056179775281,0.9746974697469747,0.9849916620344635,0.004540295119182747,0.025302530253025302,0.9984456052526414,0.5078212290502794,True,
m2_random_forest,random_row,test,kMc,nominal_threshold,,1790,370,1420,357,357,0,1420,13,0.8,0.8,1.0,0.9648648648648649,0.9821182943603851,0.0,0.03513513513513514,0.9993834732986389,0.20670391061452514,True,
m2_random_forest,random_row,test,kMt,nominal_threshold,,1790,412,1378,364,363,1,1377,49,0.8,0.8,0.9972527472527473,0.8810679611650486,0.9355670103092784,0.000725689404934688,0.11893203883495146,0.9926208201960296,0.23016759776536314,True,
m2_random_forest,random_row,test,any,nominal_threshold,,1790,689,1101,642,641,1,1100,48,0.8,0.8,0.9984423676012462,0.93033381712627,0.9631855747558228,0.0009082652134423251,0.06966618287373004,0.9969557454722009,0.38491620111731845,True,
m2_random_forest,random_row,test,kMc,nominal_threshold,,1790,198,1592,179,178,1,1591,20,0.9,0.9,0.994413407821229,0.898989898989899,0.9442970822281167,0.000628140703517588,0.10101010101010101,0.9933173199919042,0.1106145251396648,True,
m2_random_forest,random_row,test,kMt,nominal_threshold,,1790,208,1582,193,188,5,1577,20,0.9,0.9,0.9740932642487047,0.9038461538461539,0.9376558603491273,0.0031605562579013905,0.09615384615384616,0.9652994429769922,0.11620111731843576,True,
m2_random_forest,random_row,test,any,nominal_threshold,,1790,383,1407,354,348,6,1401,35,0.9,0.9,0.9830508474576272,0.9086161879895561,0.9443690637720488,0.0042643923240938165,0.09138381201044386,0.9821649182746327,0.21396648044692737,True,
m2_random_forest,state_group,test,kMc,nominal_threshold,,1791,873,918,864,861,3,915,12,0.5,0.5,0.9965277777777778,0.9862542955326461,0.991364421416235,0.0032679738562091504,0.013745704467353952,0.9996014366747602,0.48743718592964824,True,
m2_random_forest,state_group,test,kMt,nominal_threshold,,1791,873,918,872,868,4,914,5,0.5,0.5,0.9954128440366973,0.9942726231386025,0.9948424068767908,0.004357298474945534,0.0057273768613974796,0.9995031848199037,0.48743718592964824,True,
m2_random_forest,state_group,test,any,nominal_threshold,,1791,1377,414,1373,1368,5,409,9,0.5,0.5,0.9963583394027676,0.9934640522875817,0.994909090909091,0.012077294685990338,0.006535947712418301,0.9997963069882608,0.7688442211055276,True,
m2_random_forest,state_group,test,kMc,nominal_threshold,,1791,774,1017,742,740,2,1015,34,0.6,0.6,0.9973045822102425,0.9560723514211886,0.9762532981530342,0.0019665683382497543,0.04392764857881137,0.9994531264623225,0.4321608040201005,True,
m2_random_forest,state_group,test,kMt,nominal_threshold,,1791,711,1080,684,681,3,1077,30,0.6,0.6,0.9956140350877193,0.9578059071729957,0.9763440860215052,0.002777777777777778,0.04219409282700422,0.999660568688955,0.3969849246231156,True,
m2_random_forest,state_group,test,any,nominal_threshold,,1791,1215,576,1175,1171,4,572,44,0.6,0.6,0.9965957446808511,0.9637860082304527,0.9799163179916318,0.006944444444444444,0.03621399176954732,0.9997936211289722,0.678391959798995,True,
m2_random_forest,state_group,test,kMc,nominal_threshold,,1791,576,1215,547,547,0,1215,29,0.7,0.7,1.0,0.9496527777777778,0.9741763134461265,0.0,0.050347222222222224,0.9988639747266181,0.32160804020100503,True,
m2_random_forest,state_group,test,kMt,nominal_threshold,,1791,450,1341,450,445,5,1336,5,0.7,0.7,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0037285607755406414,0.011111111111111112,0.9967810251047935,0.25125628140703515,True,
m2_random_forest,state_group,test,any,nominal_threshold,,1791,900,891,884,879,5,886,21,0.7,0.7,0.994343891402715,0.9766666666666667,0.98542600896861,0.005611672278338945,0.023333333333333334,0.998893155742751,0.5025125628140703,True,
m2_random_forest,state_group,test,kMc,nominal_threshold,,1791,432,1359,408,408,0,1359,24,0.8,0.8,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555555555555,0.999757421416355,0.24120603015075376,True,
m2_random_forest,state_group,test,kMt,nominal_threshold,,1791,324,1467,290,289,1,1466,35,0.8,0.8,0.996551724137931,0.8919753086419753,0.9413680781758959,0.0006816632583503749,0.10802469135802469,0.993955546998803,0.18090452261306533,True,
m2_random_forest,state_group,test,any,nominal_threshold,,1791,702,1089,650,649,1,1088,53,0.8,0.8,0.9984615384615385,0.9245014245014245,0.9600591715976332,0.0009182736455463728,0.0754985754985755,0.9982522806672804,0.39195979899497485,True,
